id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kematian,penyebab_kematian,jumlah_kematian,satuan,tahun
42,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN POST-NEO,LAIN-LAIN,29,JIWA,2017
43,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN POST-NEO,MALARIA,0,JIWA,2017
44,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN POST-NEO,PNEUMONIA,16,JIWA,2017
45,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN POST-NEO,SALURAN CERNA,3,JIWA,2017
46,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN POST-NEO,TETANUS,0,JIWA,2017
47,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAHIR MATI,ASFIKSIA,87,JIWA,2017
48,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAHIR MATI,BBLR,54,JIWA,2017
49,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAHIR MATI,KELAINAN,27,JIWA,2017
50,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAHIR MATI,LAIN-LAIN,27,JIWA,2017
51,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAHIR MATI,SEPSIS,2,JIWA,2017
52,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAHIR MATI,TETANUS,1,JIWA,2017
53,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN BALITA,CAMPAK,0,JIWA,2017
54,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN BALITA,DEMAM,0,JIWA,2017
55,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN BALITA,DIARE,0,JIWA,2017
56,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN BALITA,DIFTERI,0,JIWA,2017
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN BALITA,LAIN-LAIN,2,JIWA,2017
58,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN BALITA,MALARIA,0,JIWA,2017
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN BALITA,PNEUMONIA,0,JIWA,2017
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN IBU,GANGGUAN DARAH,5,JIWA,2017
61,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN IBU,GANGGUAN METABOLIK,0,JIWA,2017
62,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN IBU,HIPERTENSI,15,JIWA,2017
63,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN IBU,INFEKSI,1,JIWA,2017
64,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN IBU,LAIN-LAIN,1,JIWA,2017
65,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN IBU,PENDARAHAN,4,JIWA,2017
66,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN POST-NEO,DIARE,1,JIWA,2017
67,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN POST-NEO,KELAINAN SARAF,0,JIWA,2017
68,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN POST-NEO,LAIN-LAIN,7,JIWA,2017
69,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN POST-NEO,MALARIA,0,JIWA,2017
70,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN POST-NEO,PNEUMONIA,0,JIWA,2017
71,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN POST-NEO,SALURAN CERNA,0,JIWA,2017
72,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMATIAN POST-NEO,TETANUS,0,JIWA,2017
73,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAHIR MATI,ASFIKSIA,69,JIWA,2017
74,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAHIR MATI,BBLR,66,JIWA,2017
75,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAHIR MATI,KELAINAN,5,JIWA,2017
76,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAHIR MATI,LAIN-LAIN,0,JIWA,2017
77,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAHIR MATI,SEPSIS,12,JIWA,2017
78,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAHIR MATI,TETANUS,0,JIWA,2017
79,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN BALITA,CAMPAK,0,JIWA,2017
80,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN BALITA,DEMAM,0,JIWA,2017
81,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN BALITA,DIARE,0,JIWA,2017
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN BALITA,DIFTERI,0,JIWA,2017
83,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN BALITA,LAIN-LAIN,5,JIWA,2017
84,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN BALITA,MALARIA,0,JIWA,2017
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN BALITA,PNEUMONIA,1,JIWA,2017
86,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN IBU,GANGGUAN DARAH,6,JIWA,2017
87,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN IBU,GANGGUAN METABOLIK,0,JIWA,2017
88,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN IBU,HIPERTENSI,15,JIWA,2017
89,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN IBU,INFEKSI,1,JIWA,2017
90,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN IBU,LAIN-LAIN,10,JIWA,2017
91,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN IBU,PENDARAHAN,12,JIWA,2017
92,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN POST-NEO,DIARE,0,JIWA,2017
93,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN POST-NEO,KELAINAN SARAF,0,JIWA,2017
94,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN POST-NEO,LAIN-LAIN,7,JIWA,2017
95,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN POST-NEO,MALARIA,0,JIWA,2017
96,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN POST-NEO,PNEUMONIA,2,JIWA,2017
97,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN POST-NEO,SALURAN CERNA,0,JIWA,2017
98,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMATIAN POST-NEO,TETANUS,0,JIWA,2017
99,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAHIR MATI,ASFIKSIA,39,JIWA,2017
100,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAHIR MATI,BBLR,124,JIWA,2017
101,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAHIR MATI,KELAINAN,2,JIWA,2017
102,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAHIR MATI,LAIN-LAIN,12,JIWA,2017
103,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAHIR MATI,SEPSIS,13,JIWA,2017
104,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAHIR MATI,TETANUS,0,JIWA,2017
105,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN BALITA,CAMPAK,0,JIWA,2017
106,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN BALITA,DEMAM,0,JIWA,2017
107,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN BALITA,DIARE,2,JIWA,2017
108,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN BALITA,DIFTERI,0,JIWA,2017
109,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN BALITA,LAIN-LAIN,7,JIWA,2017
110,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN BALITA,MALARIA,0,JIWA,2017
111,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN BALITA,PNEUMONIA,2,JIWA,2017
112,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN IBU,GANGGUAN DARAH,13,JIWA,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN IBU,GANGGUAN METABOLIK,0,JIWA,2017
114,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN IBU,HIPERTENSI,8,JIWA,2017
115,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN IBU,INFEKSI,0,JIWA,2017
116,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN IBU,LAIN-LAIN,12,JIWA,2017
117,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN IBU,PENDARAHAN,18,JIWA,2017
118,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN POST-NEO,DIARE,2,JIWA,2017
119,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN POST-NEO,KELAINAN SARAF,1,JIWA,2017
120,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN POST-NEO,LAIN-LAIN,15,JIWA,2017
121,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN POST-NEO,MALARIA,0,JIWA,2017
122,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN POST-NEO,PNEUMONIA,6,JIWA,2017
123,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN POST-NEO,SALURAN CERNA,0,JIWA,2017
124,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMATIAN POST-NEO,TETANUS,0,JIWA,2017
125,32,JAWA BARAT,3205,KABUPATEN GARUT,LAHIR MATI,ASFIKSIA,54,JIWA,2017
126,32,JAWA BARAT,3205,KABUPATEN GARUT,LAHIR MATI,BBLR,122,JIWA,2017
127,32,JAWA BARAT,3205,KABUPATEN GARUT,LAHIR MATI,KELAINAN,20,JIWA,2017
128,32,JAWA BARAT,3205,KABUPATEN GARUT,LAHIR MATI,LAIN-LAIN,63,JIWA,2017
129,32,JAWA BARAT,3205,KABUPATEN GARUT,LAHIR MATI,SEPSIS,2,JIWA,2017
130,32,JAWA BARAT,3205,KABUPATEN GARUT,LAHIR MATI,TETANUS,1,JIWA,2017
131,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN BALITA,CAMPAK,0,JIWA,2017
132,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN BALITA,DEMAM,1,JIWA,2017
133,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN BALITA,DIARE,0,JIWA,2017
134,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN BALITA,DIFTERI,0,JIWA,2017
135,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN BALITA,LAIN-LAIN,21,JIWA,2017
136,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN BALITA,MALARIA,0,JIWA,2017
137,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN BALITA,PNEUMONIA,2,JIWA,2017
138,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN IBU,GANGGUAN DARAH,6,JIWA,2017
139,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN IBU,GANGGUAN METABOLIK,2,JIWA,2017
140,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN IBU,HIPERTENSI,10,JIWA,2017
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN IBU,INFEKSI,3,JIWA,2017
142,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN IBU,LAIN-LAIN,6,JIWA,2017
143,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN IBU,PENDARAHAN,10,JIWA,2017
144,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN POST-NEO,DIARE,0,JIWA,2017
145,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN POST-NEO,KELAINAN SARAF,0,JIWA,2017
146,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN POST-NEO,LAIN-LAIN,47,JIWA,2017
147,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN POST-NEO,MALARIA,0,JIWA,2017
148,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN POST-NEO,PNEUMONIA,10,JIWA,2017
149,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN POST-NEO,SALURAN CERNA,4,JIWA,2017
150,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMATIAN POST-NEO,TETANUS,0,JIWA,2017
151,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAHIR MATI,ASFIKSIA,56,JIWA,2017
152,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAHIR MATI,BBLR,64,JIWA,2017
153,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAHIR MATI,KELAINAN,19,JIWA,2017
154,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAHIR MATI,LAIN-LAIN,35,JIWA,2017
155,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAHIR MATI,SEPSIS,12,JIWA,2017
156,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAHIR MATI,TETANUS,0,JIWA,2017
157,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN BALITA,CAMPAK,0,JIWA,2017
158,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN BALITA,DEMAM,0,JIWA,2017
159,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN BALITA,DIARE,0,JIWA,2017
160,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN BALITA,DIFTERI,0,JIWA,2017
161,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN BALITA,LAIN-LAIN,13,JIWA,2017
162,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN BALITA,MALARIA,0,JIWA,2017
163,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN BALITA,PNEUMONIA,1,JIWA,2017
164,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN IBU,GANGGUAN DARAH,1,JIWA,2017
165,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN IBU,GANGGUAN METABOLIK,0,JIWA,2017
166,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN IBU,HIPERTENSI,3,JIWA,2017
167,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN IBU,INFEKSI,1,JIWA,2017
168,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN IBU,LAIN-LAIN,4,JIWA,2017
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN IBU,PENDARAHAN,4,JIWA,2017
170,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN POST-NEO,DIARE,1,JIWA,2017
171,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN POST-NEO,KELAINAN SARAF,0,JIWA,2017
172,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN POST-NEO,LAIN-LAIN,18,JIWA,2017
173,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN POST-NEO,MALARIA,0,JIWA,2017
174,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN POST-NEO,PNEUMONIA,6,JIWA,2017
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN POST-NEO,SALURAN CERNA,3,JIWA,2017
176,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMATIAN POST-NEO,TETANUS,0,JIWA,2017
177,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAHIR MATI,ASFIKSIA,26,JIWA,2017
178,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAHIR MATI,BBLR,34,JIWA,2017
179,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAHIR MATI,KELAINAN,18,JIWA,2017
180,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAHIR MATI,LAIN-LAIN,19,JIWA,2017
181,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAHIR MATI,SEPSIS,1,JIWA,2017
182,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAHIR MATI,TETANUS,0,JIWA,2017
183,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN BALITA,CAMPAK,0,JIWA,2017
184,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN BALITA,DEMAM,0,JIWA,2017
185,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN BALITA,DIARE,1,JIWA,2017
186,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN BALITA,DIFTERI,0,JIWA,2017
187,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN BALITA,LAIN-LAIN,3,JIWA,2017
188,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN BALITA,MALARIA,0,JIWA,2017
189,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN BALITA,PNEUMONIA,1,JIWA,2017
190,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN IBU,GANGGUAN DARAH,4,JIWA,2017
191,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN IBU,GANGGUAN METABOLIK,0,JIWA,2017
192,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN IBU,HIPERTENSI,9,JIWA,2017
193,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN IBU,INFEKSI,0,JIWA,2017
194,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN IBU,LAIN-LAIN,8,JIWA,2017
195,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN IBU,PENDARAHAN,3,JIWA,2017
196,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN POST-NEO,DIARE,1,JIWA,2017
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN POST-NEO,KELAINAN SARAF,0,JIWA,2017
198,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN POST-NEO,LAIN-LAIN,12,JIWA,2017
199,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN POST-NEO,MALARIA,0,JIWA,2017
200,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN POST-NEO,PNEUMONIA,2,JIWA,2017
201,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN POST-NEO,SALURAN CERNA,0,JIWA,2017
202,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMATIAN POST-NEO,TETANUS,0,JIWA,2017
203,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAHIR MATI,ASFIKSIA,13,JIWA,2017
204,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAHIR MATI,BBLR,34,JIWA,2017
205,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAHIR MATI,KELAINAN,11,JIWA,2017
206,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAHIR MATI,LAIN-LAIN,11,JIWA,2017
207,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAHIR MATI,SEPSIS,0,JIWA,2017
208,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAHIR MATI,TETANUS,0,JIWA,2017
209,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN BALITA,CAMPAK,0,JIWA,2017
210,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN BALITA,DEMAM,0,JIWA,2017
211,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN BALITA,DIARE,2,JIWA,2017
212,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN BALITA,DIFTERI,0,JIWA,2017
213,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN BALITA,LAIN-LAIN,24,JIWA,2017
214,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN BALITA,MALARIA,0,JIWA,2017
215,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN BALITA,PNEUMONIA,0,JIWA,2017
216,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN IBU,GANGGUAN DARAH,3,JIWA,2017
217,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN IBU,GANGGUAN METABOLIK,2,JIWA,2017
218,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN IBU,HIPERTENSI,17,JIWA,2017
219,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN IBU,INFEKSI,1,JIWA,2017
220,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN IBU,LAIN-LAIN,9,JIWA,2017
221,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN IBU,PENDARAHAN,7,JIWA,2017
222,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN POST-NEO,DIARE,0,JIWA,2017
223,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN POST-NEO,KELAINAN SARAF,0,JIWA,2017
224,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN POST-NEO,LAIN-LAIN,21,JIWA,2017
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN POST-NEO,MALARIA,0,JIWA,2017
226,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN POST-NEO,PNEUMONIA,4,JIWA,2017
227,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN POST-NEO,SALURAN CERNA,1,JIWA,2017
228,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMATIAN POST-NEO,TETANUS,0,JIWA,2017
229,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAHIR MATI,ASFIKSIA,50,JIWA,2017
230,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAHIR MATI,BBLR,62,JIWA,2017
231,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAHIR MATI,KELAINAN,28,JIWA,2017
